step,x,y,theta,v,lateral_error
183,101.122,-0.380776,0.0251666,15.5574,0.38099
184,101.9,-0.397124,0.0578611,15.5557,0.410312
185,102.678,-0.39416,0.0845273,15.5539,0.394859
186,103.455,-0.374927,0.104391,15.5522,0.380898
187,104.232,-0.342514,0.117257,15.5504,0.347501
188,105.009,-0.300151,0.123298,15.5486,0.30197
189,105.785,-0.251055,0.123014,15.5468,0.267279
190,106.56,-0.198297,0.117175,15.5451,0.198298
191,107.335,-0.144709,0.106726,15.5433,0.172327
192,108.111,-0.0927708,0.0927423,15.5415,0.0977397
193,108.886,-0.0446315,0.0762883,15.5397,0.0762033
194,109.662,-0.00190881,0.0584773,15.5379,0.062986
195,110.438,0.0342596,0.0403624,15.5361,0.044954
196,111.215,0.0631668,0.0228582,15.5343,0.11498
197,111.991,0.0845561,0.00674182,15.5326,0.0846695
198,112.768,0.0985379,-0.0073969,15.5308,0.131604
199,113.544,0.105568,-0.0191361,15.529,0.112262
200,114.32,0.106412,-0.0281992,15.5272,0.119096
201,115.097,0.101965,-0.0345251,15.5254,0.124696
202,115.873,0.09325,-0.0381976,15.5236,0.0953945
203,116.649,0.0813415,-0.0394258,15.5219,0.132735
204,117.425,0.067308,-0.0385119,15.5201,0.0685038
205,118.201,0.0522017,-0.035794,15.5183,0.0951176
206,118.977,0.0369273,-0.0316844,15.5165,0.058341
207,119.752,0.0222579,-0.0266079,15.5148,0.0522375
208,120.528,0.00882643,-0.0209698,15.513,0.0777814
209,121.304,-0.00289722,-0.0151462,15.5113,0.0155449
210,122.079,-0.0125932,-0.00945961,15.5095,0.108617
211,122.855,-0.0200973,-0.0041798,15.5078,0.0259835
212,123.63,-0.0253856,0.000482397,15.506,0.0803881
213,124.405,-0.0285422,0.00438617,15.5043,0.0557882
214,125.18,-0.0297482,0.00744968,15.5025,0.0539168
215,125.956,-0.0292514,0.00964973,15.5008,0.0843106
216,126.73,-0.00838193,0.0243753,15.4991,0.01663
217,127.503,0.054173,0.0648588,15.4973,0.119806
218,128.275,0.116997,0.0941154,15.4956,0.117508
219,129.049,0.139476,0.0853072,15.4939,0.162199
